County,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Pawnee ,7.80%,6.40%,6.60%,6.10%,5.40%,3.70%,4.00%,5.70%,6.90%,5.90%,5.00%,4.30%,4.50%,4.50%,8.90%,9.50%,8.20%,6.60%,6.10%,5.30%,5.80%,6.70%
Payne,2.20%,1.90%,1.90%,1.80%,1.30%,2.50%,2.80%,3.50%,4.20%,4.00%,4.00%,3.70%,3.70%,3.90%,6.40%,6.00%,5.40%,4.70%,4.50%,3.70%,3.50%,3.80%
Pittsburg h,8.50%,7.10%,7.70%,8.20%,6.50%,4.50%,4.40%,6.20%,6.50%,5.70%,4.90%,4.20%,3.90%,3.20%,6.40%,6.70%,6.10%,6.90%,7.30%,6.10%,5.70%,6.30%
Pontotoc ,6.60%,5.50%,4.90%,5.30%,3.40%,3.30%,3.90%,4.90%,5.10%,6.00%,4.40%,3.70%,3.60%,3.20%,5.60%,5.40%,4.90%,5.10%,5.50%,4.40%,4.00%,4.10%
Pottawatomie,4.40%,4.90%,4.80%,5.20%,3.80%,3.20%,4.40%,5.00%,5.90%,5.60%,5.30%,4.60%,4.20%,3.90%,6.60%,6.50%,5.70%,5.30%,5.50%,4.70%,4.50%,4.70%
Pushmataha ,7.80%,6.30%,6.20%,6.90%,5.40%,4.40%,6.00%,7.20%,7.50%,6.50%,5.10%,4.40%,4.90%,4.80%,8.70%,8.40%,7.50%,7.20%,8.90%,7.40%,7.70%,7.60%
Roger Mills ,3.00%,2.80%,3.10%,4.40%,3.50%,2.50%,2.40%,3.30%,2.80%,2.80%,2.80%,2.70%,2.70%,2.30%,4.70%,4.10%,2.90%,2.90%,3.20%,2.90%,4.20%,5.20%
Rogers ,4.50%,3.50%,3.40%,3.40%,3.10%,2.70%,3.00%,4.60%,5.80%,4.60%,4.00%,3.80%,3.80%,3.50%,7.20%,7.40%,6.50%,5.00%,5.20%,4.20%,4.40%,5.10%
Seminole ,8.30%,8.10%,8.10%,9.70%,7.30%,4.30%,4.80%,7.00%,9.10%,10.00%,7.00%,5.80%,5.50%,4.50%,9.00%,8.70%,7.80%,7.80%,8.20%,6.80%,6.80%,7.10%
Sequoyah ,7.10%,6.70%,8.20%,9.10%,5.20%,4.40%,4.90%,6.20%,6.80%,6.20%,5.50%,5.60%,5.80%,5.90%,9.90%,10.20%,9.60%,8.40%,8.60%,7.00%,6.30%,6.30%
